person1Ssn,person2Ssn,confidence,reason
600-10-2153,672-77-5415,0.94,same_dob_similar_name
517-60-1500,396-31-4997,0.85,same_dob_similar_name
517-60-1500,649-19-5888,0.93,same_dob_similar_name
396-31-4997,649-19-5888,0.82,same_dob_similar_name
495-11-3897,974-95-7191,0.77,same_dob_similar_name
495-11-3897,835-17-9583,0.88,same_dob_similar_name
974-95-7191,835-17-9583,0.84,same_dob_similar_name
136-67-4052,653-14-9724,0.74,same_dob_similar_name
136-67-4052,490-71-5499,0.92,same_dob_similar_name
653-14-9724,490-71-5499,0.79,same_dob_similar_name
825-41-5891,697-59-6062,0.94,same_dob_similar_name
825-41-5891,954-53-7516,0.7,same_dob_similar_name
697-59-6062,954-53-7516,0.92,same_dob_similar_name
940-57-8064,353-24-6875,0.88,same_dob_similar_name
940-57-8064,890-64-1305,0.74,same_dob_similar_name
353-24-6875,890-64-1305,0.9,same_dob_similar_name
793-16-9570,695-73-1647,0.89,same_dob_similar_name
793-16-9570,448-45-9861,0.81,same_dob_similar_name
695-73-1647,448-45-9861,0.81,same_dob_similar_name
256-35-3284,414-84-8477,0.92,same_dob_similar_name
834-98-8562,329-99-8289,0.71,same_dob_similar_name
834-98-8562,671-15-6688,0.95,same_dob_similar_name
329-99-8289,671-15-6688,0.75,same_dob_similar_name
850-25-8424,914-53-1595,0.74,same_dob_similar_name
850-25-8424,610-63-3926,0.89,same_dob_similar_name
914-53-1595,610-63-3926,0.93,same_dob_similar_name
467-98-1217,963-79-4690,0.8,same_dob_similar_name
471-49-1747,648-14-6134,0.9,same_dob_similar_name
471-49-1747,492-17-2137,0.91,same_dob_similar_name
648-14-6134,492-17-2137,0.76,same_dob_similar_name
847-69-6132,971-69-2065,0.83,same_dob_similar_name
334-65-2921,710-57-6572,0.86,same_dob_similar_name
334-65-2921,739-77-5238,0.91,same_dob_similar_name
710-57-6572,739-77-5238,0.86,same_dob_similar_name
652-26-6343,921-93-5246,0.73,same_dob_similar_name
652-26-6343,262-88-1585,0.91,same_dob_similar_name
921-93-5246,262-88-1585,0.76,same_dob_similar_name
424-73-9676,568-83-3022,0.7,same_dob_similar_name
825-61-4712,637-78-6762,0.84,same_dob_similar_name
254-13-6105,302-66-6621,0.82,same_dob_similar_name
254-13-6105,100-71-2054,0.85,same_dob_similar_name
302-66-6621,100-71-2054,0.83,same_dob_similar_name
382-42-4219,371-45-1701,0.86,same_dob_similar_name
354-62-6381,736-91-3425,0.81,same_dob_similar_name
354-62-6381,197-77-9354,0.77,same_dob_similar_name
736-91-3425,197-77-9354,0.82,same_dob_similar_name
365-40-4983,156-65-5004,0.74,same_dob_similar_name
876-13-5347,426-72-9672,0.71,same_dob_similar_name
876-13-5347,820-17-7488,0.76,same_dob_similar_name
426-72-9672,820-17-7488,0.94,same_dob_similar_name
607-67-8971,651-90-8573,0.82,same_dob_similar_name
282-76-6074,412-67-9924,0.86,same_dob_similar_name
286-19-2503,268-31-6454,0.91,same_dob_similar_name
807-65-1400,421-62-8764,0.8,same_dob_similar_name
807-65-1400,938-20-7831,0.76,same_dob_similar_name
421-62-8764,938-20-7831,0.77,same_dob_similar_name
472-41-9346,416-53-5095,0.71,same_dob_similar_name
753-22-1389,923-31-5388,0.79,same_dob_similar_name
380-60-3515,619-43-7357,0.78,same_dob_similar_name
380-60-3515,289-52-7226,0.76,same_dob_similar_name
619-43-7357,289-52-7226,0.8,same_dob_similar_name
492-79-7036,771-89-3855,0.84,same_dob_similar_name
511-49-7986,708-66-7435,0.78,same_dob_similar_name
511-49-7986,655-47-6180,0.73,same_dob_similar_name
708-66-7435,655-47-6180,0.9,same_dob_similar_name
319-68-4895,468-26-2373,0.71,same_dob_similar_name
319-68-4895,924-39-2763,0.91,same_dob_similar_name
468-26-2373,924-39-2763,0.8,same_dob_similar_name
924-15-9227,683-85-7113,0.7,same_dob_similar_name
924-15-9227,655-15-2231,0.87,same_dob_similar_name
683-85-7113,655-15-2231,0.84,same_dob_similar_name
847-88-9008,406-69-1297,0.79,same_dob_similar_name
847-88-9008,448-76-5772,0.71,same_dob_similar_name
406-69-1297,448-76-5772,0.83,same_dob_similar_name
664-79-4872,325-15-7323,0.79,same_dob_similar_name
664-79-4872,334-31-8278,0.76,same_dob_similar_name
325-15-7323,334-31-8278,0.7,same_dob_similar_name
487-30-2202,228-65-9452,0.81,same_dob_similar_name
317-53-6492,198-85-2846,0.91,same_dob_similar_name
297-37-3998,486-29-8711,0.73,same_dob_similar_name
297-37-3998,939-33-7261,0.93,same_dob_similar_name
486-29-8711,939-33-7261,0.72,same_dob_similar_name
708-62-2904,435-29-1328,0.87,same_dob_similar_name
708-62-2904,822-32-4360,0.9,same_dob_similar_name
435-29-1328,822-32-4360,0.87,same_dob_similar_name
976-53-8919,694-85-8788,0.74,same_dob_similar_name
976-53-8919,737-52-8297,0.85,same_dob_similar_name
694-85-8788,737-52-8297,0.86,same_dob_similar_name
191-35-1034,886-57-6044,0.7,same_dob_similar_name
904-36-4384,152-63-8375,0.72,same_dob_similar_name
904-36-4384,316-71-5323,0.71,same_dob_similar_name
152-63-8375,316-71-5323,0.8,same_dob_similar_name
670-21-9515,604-47-3413,0.86,same_dob_similar_name
993-25-1451,689-76-6389,0.71,same_dob_similar_name
993-25-1451,165-73-1569,0.73,same_dob_similar_name
689-76-6389,165-73-1569,0.8,same_dob_similar_name
525-73-9208,561-44-7565,0.77,same_dob_similar_name
525-73-9208,451-58-7246,0.85,same_dob_similar_name
561-44-7565,451-58-7246,0.88,same_dob_similar_name
297-86-8541,138-40-5206,0.74,same_dob_similar_name
297-86-8541,388-17-2317,0.81,same_dob_similar_name
138-40-5206,388-17-2317,0.86,same_dob_similar_name
452-91-6624,805-19-6453,0.71,same_dob_similar_name
911-19-7241,753-13-2204,0.86,same_dob_similar_name
345-19-9111,977-35-6541,0.78,same_dob_similar_name
736-37-7787,152-56-3239,0.95,same_dob_similar_name
882-63-8433,595-75-6650,0.82,same_dob_similar_name
882-63-8433,311-87-4057,0.92,same_dob_similar_name
595-75-6650,311-87-4057,0.76,same_dob_similar_name
590-96-6200,139-39-5282,0.84,same_dob_similar_name
590-96-6200,293-60-3664,0.71,same_dob_similar_name
139-39-5282,293-60-3664,0.87,same_dob_similar_name
953-12-8331,252-21-4677,0.91,same_dob_similar_name
767-53-1282,520-47-9865,0.75,same_dob_similar_name
767-53-1282,100-53-6947,0.92,same_dob_similar_name
520-47-9865,100-53-6947,0.82,same_dob_similar_name
717-53-8779,425-88-4350,0.83,same_dob_similar_name
878-87-6176,494-53-8695,0.85,same_dob_similar_name
273-38-7660,103-25-7730,0.85,same_dob_similar_name
273-38-7660,905-76-5424,0.79,same_dob_similar_name
103-25-7730,905-76-5424,0.84,same_dob_similar_name
576-70-5973,447-74-2297,0.73,same_dob_similar_name
576-70-5973,628-30-3978,0.73,same_dob_similar_name
447-74-2297,628-30-3978,0.91,same_dob_similar_name
520-38-7571,282-72-9558,0.93,same_dob_similar_name
194-85-5627,867-12-1256,0.7,same_dob_similar_name
889-11-6079,842-12-1602,0.92,same_dob_similar_name
380-15-9786,493-73-6979,0.94,same_dob_similar_name
755-38-3104,101-94-9557,0.7,same_dob_similar_name
961-25-2447,191-82-4877,0.87,same_dob_similar_name
961-25-2447,584-38-3988,0.81,same_dob_similar_name
191-82-4877,584-38-3988,0.91,same_dob_similar_name
131-93-7949,551-20-8273,0.77,same_dob_similar_name
131-93-7949,984-55-3502,0.83,same_dob_similar_name
551-20-8273,984-55-3502,0.85,same_dob_similar_name
691-80-3073,102-64-9539,0.84,same_dob_similar_name
135-32-5305,523-42-2082,0.85,same_dob_similar_name
431-69-6881,193-53-3428,0.73,same_dob_similar_name
361-10-7436,451-23-1761,0.84,same_dob_similar_name
361-10-7436,695-71-8161,0.89,same_dob_similar_name
451-23-1761,695-71-8161,0.83,same_dob_similar_name
198-92-9714,824-91-7180,0.85,same_dob_similar_name
198-92-9714,660-27-9575,0.94,same_dob_similar_name
824-91-7180,660-27-9575,0.85,same_dob_similar_name
644-42-1520,172-21-5970,0.77,same_dob_similar_name
453-67-8982,987-13-1710,0.83,same_dob_similar_name
756-23-1141,552-27-8209,0.89,same_dob_similar_name
268-84-4853,190-79-8255,0.79,same_dob_similar_name
268-84-4853,644-87-2785,0.87,same_dob_similar_name
190-79-8255,644-87-2785,0.87,same_dob_similar_name
412-57-9156,696-77-7975,0.76,same_dob_similar_name
412-57-9156,733-95-6015,0.8,same_dob_similar_name
696-77-7975,733-95-6015,0.74,same_dob_similar_name
219-87-4078,905-44-2515,0.7,same_dob_similar_name
219-87-4078,110-92-6083,0.89,same_dob_similar_name
905-44-2515,110-92-6083,0.83,same_dob_similar_name
470-82-2041,729-32-8817,0.81,same_dob_similar_name
470-82-2041,927-48-1036,0.76,same_dob_similar_name
729-32-8817,927-48-1036,0.86,same_dob_similar_name
488-19-3482,156-96-5431,0.8,same_dob_similar_name
345-70-4669,608-76-3161,0.84,same_dob_similar_name
345-70-4669,162-61-3499,0.73,same_dob_similar_name
608-76-3161,162-61-3499,0.84,same_dob_similar_name
633-87-2852,955-88-4594,0.76,same_dob_similar_name
901-19-1769,506-88-6607,0.81,same_dob_similar_name
295-36-2561,624-78-7457,0.83,same_dob_similar_name
295-36-2561,628-35-9017,0.81,same_dob_similar_name
624-78-7457,628-35-9017,0.73,same_dob_similar_name
569-33-5271,493-33-5117,0.84,same_dob_similar_name
978-85-5228,261-98-5079,0.71,same_dob_similar_name
978-85-5228,450-38-2314,0.93,same_dob_similar_name
261-98-5079,450-38-2314,0.71,same_dob_similar_name
935-10-1535,395-20-3616,0.82,same_dob_similar_name
935-10-1535,916-66-9124,0.84,same_dob_similar_name
395-20-3616,916-66-9124,0.71,same_dob_similar_name
364-73-6682,417-95-9465,0.81,same_dob_similar_name
364-73-6682,851-74-5230,0.82,same_dob_similar_name
417-95-9465,851-74-5230,0.93,same_dob_similar_name
276-32-6432,513-73-7906,0.85,same_dob_similar_name
276-32-6432,545-91-5635,0.92,same_dob_similar_name
513-73-7906,545-91-5635,0.94,same_dob_similar_name
198-74-2374,634-55-2024,0.8,same_dob_similar_name
984-62-1515,891-16-3190,0.93,same_dob_similar_name
984-62-1515,790-18-6178,0.73,same_dob_similar_name
891-16-3190,790-18-6178,0.87,same_dob_similar_name
210-95-8131,634-78-4810,0.82,same_dob_similar_name
336-17-6874,293-44-7213,0.87,same_dob_similar_name
884-63-7001,109-94-8757,0.84,same_dob_similar_name
884-63-7001,350-86-8529,0.93,same_dob_similar_name
109-94-8757,350-86-8529,0.91,same_dob_similar_name
467-37-5258,801-15-5112,0.94,same_dob_similar_name
270-26-6253,848-95-5905,0.93,same_dob_similar_name
270-26-6253,447-91-7339,0.9,same_dob_similar_name
848-95-5905,447-91-7339,0.91,same_dob_similar_name
492-41-8415,715-49-2773,0.92,same_dob_similar_name
492-41-8415,825-96-5321,0.94,same_dob_similar_name
715-49-2773,825-96-5321,0.91,same_dob_similar_name
857-75-7594,916-70-2756,0.71,same_dob_similar_name
866-57-2654,546-63-9818,0.77,same_dob_similar_name
866-57-2654,388-28-3572,0.77,same_dob_similar_name
546-63-9818,388-28-3572,0.76,same_dob_similar_name
799-15-3109,185-16-5478,0.93,same_dob_similar_name
935-29-5084,238-71-3710,0.77,same_dob_similar_name
697-35-9711,275-48-5349,0.85,same_dob_similar_name
925-62-1697,847-62-5375,0.71,same_dob_similar_name
405-79-2432,369-25-3514,0.81,same_dob_similar_name
405-79-2432,781-10-4286,0.78,same_dob_similar_name
369-25-3514,781-10-4286,0.75,same_dob_similar_name
891-80-5445,954-23-7442,0.77,same_dob_similar_name
416-67-5381,726-53-5554,0.85,same_dob_similar_name
416-67-5381,862-15-4772,0.94,same_dob_similar_name
726-53-5554,862-15-4772,0.77,same_dob_similar_name
426-28-5999,241-99-7709,0.81,same_dob_similar_name
632-40-2190,655-48-7103,0.74,same_dob_similar_name
632-40-2190,880-52-9585,0.7,same_dob_similar_name
655-48-7103,880-52-9585,0.75,same_dob_similar_name
272-47-4072,615-18-7758,0.92,same_dob_similar_name
272-47-4072,433-86-2112,0.78,same_dob_similar_name
615-18-7758,433-86-2112,0.91,same_dob_similar_name
921-45-9284,169-58-3829,0.83,same_dob_similar_name
865-36-9473,920-93-9107,0.86,same_dob_similar_name
865-36-9473,489-75-3255,0.75,same_dob_similar_name
920-93-9107,489-75-3255,0.74,same_dob_similar_name
807-22-6260,112-92-1482,0.81,same_dob_similar_name
411-49-2161,533-88-3089,0.7,same_dob_similar_name
411-49-2161,155-26-7686,0.87,same_dob_similar_name
533-88-3089,155-26-7686,0.86,same_dob_similar_name
162-87-9927,605-23-6344,0.86,same_dob_similar_name
531-79-7235,673-88-9040,0.88,same_dob_similar_name
531-79-7235,791-70-1850,0.93,same_dob_similar_name
673-88-9040,791-70-1850,0.87,same_dob_similar_name
946-93-8753,456-44-1176,0.9,same_dob_similar_name
946-93-8753,786-19-6322,0.94,same_dob_similar_name
456-44-1176,786-19-6322,0.82,same_dob_similar_name
579-95-8481,623-27-8716,0.74,same_dob_similar_name
579-95-8481,478-82-7702,0.84,same_dob_similar_name
623-27-8716,478-82-7702,0.94,same_dob_similar_name
678-98-2597,750-11-1701,0.94,same_dob_similar_name
678-98-2597,652-57-4704,0.89,same_dob_similar_name
750-11-1701,652-57-4704,0.89,same_dob_similar_name
178-24-8967,670-37-8081,0.88,same_dob_similar_name
178-24-8967,546-40-2476,0.95,same_dob_similar_name
670-37-8081,546-40-2476,0.92,same_dob_similar_name
520-84-8901,207-64-1743,0.87,same_dob_similar_name
520-84-8901,832-81-8185,0.79,same_dob_similar_name
207-64-1743,832-81-8185,0.89,same_dob_similar_name
514-32-2968,473-69-8340,0.87,same_dob_similar_name
514-32-2968,932-36-4863,0.89,same_dob_similar_name
473-69-8340,932-36-4863,0.88,same_dob_similar_name
537-23-5309,753-68-4794,0.81,same_dob_similar_name
249-72-6210,956-80-3943,0.78,same_dob_similar_name
249-72-6210,481-32-5798,0.78,same_dob_similar_name
956-80-3943,481-32-5798,0.83,same_dob_similar_name
569-78-4726,119-73-5795,0.7,same_dob_similar_name
569-78-4726,216-97-8641,0.93,same_dob_similar_name
119-73-5795,216-97-8641,0.88,same_dob_similar_name
451-28-5638,517-82-6062,0.85,same_dob_similar_name
451-28-5638,367-62-2251,0.86,same_dob_similar_name
517-82-6062,367-62-2251,0.9,same_dob_similar_name
243-51-8409,776-74-8274,0.73,same_dob_similar_name
243-51-8409,806-55-8019,0.7,same_dob_similar_name
776-74-8274,806-55-8019,0.76,same_dob_similar_name
918-25-9158,792-21-7469,0.9,same_dob_similar_name
307-44-6180,659-20-7615,0.92,same_dob_similar_name
155-12-8120,460-13-3622,0.89,same_dob_similar_name
155-12-8120,500-16-3441,0.73,same_dob_similar_name
460-13-3622,500-16-3441,0.87,same_dob_similar_name
383-40-8236,802-63-3701,0.71,same_dob_similar_name
383-40-8236,822-42-3634,0.82,same_dob_similar_name
802-63-3701,822-42-3634,0.84,same_dob_similar_name
886-80-7432,977-18-7284,0.81,same_dob_similar_name
594-42-7318,448-24-5034,0.87,same_dob_similar_name
594-42-7318,146-17-3164,0.92,same_dob_similar_name
448-24-5034,146-17-3164,0.89,same_dob_similar_name
544-38-7163,152-86-2481,0.92,same_dob_similar_name
456-86-6635,840-98-7271,0.76,same_dob_similar_name
720-16-8678,927-53-3975,0.85,same_dob_similar_name
720-16-8678,285-85-1004,0.8,same_dob_similar_name
927-53-3975,285-85-1004,0.72,same_dob_similar_name
661-14-2343,830-92-9201,0.87,same_dob_similar_name
661-14-2343,756-46-9884,0.88,same_dob_similar_name
830-92-9201,756-46-9884,0.91,same_dob_similar_name
154-43-8797,194-31-5357,0.87,same_dob_similar_name
154-43-8797,950-92-4982,0.92,same_dob_similar_name
194-31-5357,950-92-4982,0.95,same_dob_similar_name
626-72-9170,914-81-4899,0.88,same_dob_similar_name
798-72-8844,834-66-9139,0.91,same_dob_similar_name
798-72-8844,193-84-6615,0.78,same_dob_similar_name
834-66-9139,193-84-6615,0.81,same_dob_similar_name
404-66-6222,688-55-3539,0.9,same_dob_similar_name
404-66-6222,672-69-5484,0.94,same_dob_similar_name
688-55-3539,672-69-5484,0.79,same_dob_similar_name
265-70-8111,854-58-8571,0.77,same_dob_similar_name
279-90-1788,471-86-9808,0.81,same_dob_similar_name
676-30-2165,658-96-6211,0.75,same_dob_similar_name
685-88-2273,572-56-7079,0.86,same_dob_similar_name
685-88-2273,661-64-8321,0.82,same_dob_similar_name
572-56-7079,661-64-8321,0.93,same_dob_similar_name
263-67-3960,324-58-2587,0.86,same_dob_similar_name
786-23-9408,500-49-5623,0.88,same_dob_similar_name
662-76-5422,515-98-3334,0.91,same_dob_similar_name
662-76-5422,723-40-8734,0.85,same_dob_similar_name
515-98-3334,723-40-8734,0.86,same_dob_similar_name
156-88-2879,464-82-9878,0.8,same_dob_similar_name
156-88-2879,276-85-3614,0.75,same_dob_similar_name
464-82-9878,276-85-3614,0.88,same_dob_similar_name
450-47-9117,449-16-4565,0.8,same_dob_similar_name
339-14-5012,943-61-5604,0.81,same_dob_similar_name
339-14-5012,673-38-1376,0.81,same_dob_similar_name
943-61-5604,673-38-1376,0.8,same_dob_similar_name
506-35-3219,206-49-3222,0.74,same_dob_similar_name
234-85-4151,892-60-6994,0.89,same_dob_similar_name
234-85-4151,426-70-9754,0.87,same_dob_similar_name
892-60-6994,426-70-9754,0.79,same_dob_similar_name
136-32-3698,245-68-7798,0.73,same_dob_similar_name
136-32-3698,638-36-2438,0.77,same_dob_similar_name
245-68-7798,638-36-2438,0.83,same_dob_similar_name
753-63-9499,497-96-1930,0.82,same_dob_similar_name
860-36-5112,189-79-3397,0.8,same_dob_similar_name
860-36-5112,217-12-1864,0.74,same_dob_similar_name
189-79-3397,217-12-1864,0.91,same_dob_similar_name
457-38-6197,136-28-5467,0.77,same_dob_similar_name
457-38-6197,633-34-5783,0.83,same_dob_similar_name
136-28-5467,633-34-5783,0.81,same_dob_similar_name
222-80-4467,747-65-7067,0.75,same_dob_similar_name
222-80-4467,294-26-8656,0.77,same_dob_similar_name
747-65-7067,294-26-8656,0.9,same_dob_similar_name
646-60-1817,740-23-1982,0.93,same_dob_similar_name
169-57-6259,579-97-4319,0.82,same_dob_similar_name
169-57-6259,228-49-8232,0.88,same_dob_similar_name
579-97-4319,228-49-8232,0.89,same_dob_similar_name
724-55-9293,342-97-2339,0.81,same_dob_similar_name
481-85-9747,968-36-2719,0.77,same_dob_similar_name
481-85-9747,705-86-6007,0.95,same_dob_similar_name
968-36-2719,705-86-6007,0.72,same_dob_similar_name
599-85-5746,406-25-7192,0.77,same_dob_similar_name
599-85-5746,421-98-3059,0.78,same_dob_similar_name
406-25-7192,421-98-3059,0.7,same_dob_similar_name
628-20-5055,311-65-8802,0.94,same_dob_similar_name
641-73-4022,405-14-7583,0.73,same_dob_similar_name
788-89-7147,511-41-7820,0.72,same_dob_similar_name
788-89-7147,929-33-2016,0.85,same_dob_similar_name
511-41-7820,929-33-2016,0.76,same_dob_similar_name
873-24-7701,597-38-9667,0.79,same_dob_similar_name
873-24-7701,889-82-1292,0.86,same_dob_similar_name
597-38-9667,889-82-1292,0.77,same_dob_similar_name
820-21-5134,966-84-8491,0.76,same_dob_similar_name
143-19-1542,396-43-2221,0.72,same_dob_similar_name
143-19-1542,710-55-5279,0.87,same_dob_similar_name
396-43-2221,710-55-5279,0.76,same_dob_similar_name
931-13-6880,256-43-9622,0.9,same_dob_similar_name
931-13-6880,994-98-5734,0.79,same_dob_similar_name
256-43-9622,994-98-5734,0.83,same_dob_similar_name
802-40-1130,376-74-9735,0.84,same_dob_similar_name
802-40-1130,416-93-5871,0.87,same_dob_similar_name
376-74-9735,416-93-5871,0.72,same_dob_similar_name
133-63-6842,603-33-4838,0.81,same_dob_similar_name
133-63-6842,276-18-5147,0.89,same_dob_similar_name
603-33-4838,276-18-5147,0.86,same_dob_similar_name
473-62-2522,996-96-6038,0.84,same_dob_similar_name
940-30-3903,712-13-5434,0.86,same_dob_similar_name
860-71-6263,897-19-9579,0.94,same_dob_similar_name
806-21-8964,475-91-9839,0.71,same_dob_similar_name
806-21-8964,886-66-5395,0.83,same_dob_similar_name
475-91-9839,886-66-5395,0.93,same_dob_similar_name
379-73-2899,977-83-3241,0.81,same_dob_similar_name
856-75-2813,187-48-6780,0.78,same_dob_similar_name
674-70-5816,599-13-6078,0.94,same_dob_similar_name
326-35-5647,189-21-6341,0.79,same_dob_similar_name
326-35-5647,439-63-9533,0.91,same_dob_similar_name
189-21-6341,439-63-9533,0.71,same_dob_similar_name
336-37-6476,644-54-6728,0.87,same_dob_similar_name
336-37-6476,580-10-3117,0.7,same_dob_similar_name
644-54-6728,580-10-3117,0.81,same_dob_similar_name
291-46-6552,859-17-7997,0.92,same_dob_similar_name
436-16-3151,866-38-5844,0.91,same_dob_similar_name
436-16-3151,552-73-3947,0.9,same_dob_similar_name
866-38-5844,552-73-3947,0.83,same_dob_similar_name
863-93-4215,939-77-4472,0.72,same_dob_similar_name
205-19-9259,900-62-6426,0.9,same_dob_similar_name
205-19-9259,854-24-5882,0.75,same_dob_similar_name
900-62-6426,854-24-5882,0.86,same_dob_similar_name
204-97-1860,427-32-6542,0.8,same_dob_similar_name
605-84-8576,633-44-6082,0.82,same_dob_similar_name
605-84-8576,548-80-4929,0.79,same_dob_similar_name
633-44-6082,548-80-4929,0.79,same_dob_similar_name
296-44-6237,122-63-1367,0.79,same_dob_similar_name
470-45-6524,488-57-8901,0.77,same_dob_similar_name
122-88-4601,678-50-8879,0.76,same_dob_similar_name
441-61-8621,950-62-1563,0.86,same_dob_similar_name
441-61-8621,606-27-4988,0.75,same_dob_similar_name
950-62-1563,606-27-4988,0.92,same_dob_similar_name
409-19-1454,359-39-5697,0.95,same_dob_similar_name
409-19-1454,974-81-4799,0.7,same_dob_similar_name
359-39-5697,974-81-4799,0.95,same_dob_similar_name
986-26-7554,372-74-6845,0.84,same_dob_similar_name
834-10-5716,523-70-3638,0.81,same_dob_similar_name
834-10-5716,632-28-5042,0.76,same_dob_similar_name
523-70-3638,632-28-5042,0.85,same_dob_similar_name
115-42-4721,242-65-8800,0.85,same_dob_similar_name
115-42-4721,666-58-6124,0.94,same_dob_similar_name
242-65-8800,666-58-6124,0.71,same_dob_similar_name
131-29-1540,151-57-7331,0.7,same_dob_similar_name
519-74-7698,292-38-1948,0.89,same_dob_similar_name
307-43-1122,474-79-1815,0.95,same_dob_similar_name
461-24-4935,443-58-6197,0.88,same_dob_similar_name
552-16-8626,703-25-7319,0.9,same_dob_similar_name
140-89-7580,532-35-7244,0.79,same_dob_similar_name
140-89-7580,601-90-4697,0.89,same_dob_similar_name
532-35-7244,601-90-4697,0.72,same_dob_similar_name
746-72-6450,113-46-8243,0.76,same_dob_similar_name
435-78-6827,449-48-9978,0.74,same_dob_similar_name
914-94-7854,261-60-8843,0.71,same_dob_similar_name
704-93-7609,627-61-7297,0.73,same_dob_similar_name
101-90-5217,601-66-2929,0.92,same_dob_similar_name
571-98-4646,952-31-3923,0.76,same_dob_similar_name
284-23-2305,585-40-8667,0.77,same_dob_similar_name
125-90-9704,853-79-3331,0.95,same_dob_similar_name
758-85-8247,739-70-6404,0.92,same_dob_similar_name
660-87-4695,633-27-8743,0.83,same_dob_similar_name
660-87-4695,437-31-5493,0.94,same_dob_similar_name
633-27-8743,437-31-5493,0.83,same_dob_similar_name
575-49-4431,509-26-1719,0.85,same_dob_similar_name
343-68-4856,680-26-2013,0.8,same_dob_similar_name
343-68-4856,495-45-7692,0.7,same_dob_similar_name
680-26-2013,495-45-7692,0.78,same_dob_similar_name
521-92-2459,410-62-3938,0.93,same_dob_similar_name
665-66-6699,592-91-7450,0.95,same_dob_similar_name
702-11-5947,765-17-3479,0.73,same_dob_similar_name
412-52-5742,366-60-8871,0.9,same_dob_similar_name
412-52-5742,530-22-3622,0.72,same_dob_similar_name
366-60-8871,530-22-3622,0.8,same_dob_similar_name
315-69-6361,882-95-4457,0.91,same_dob_similar_name
315-69-6361,805-93-9220,0.71,same_dob_similar_name
882-95-4457,805-93-9220,0.89,same_dob_similar_name
773-95-5576,475-71-9340,0.93,same_dob_similar_name
519-65-8715,526-79-4011,0.9,same_dob_similar_name
161-82-1321,911-65-5068,0.9,same_dob_similar_name
161-82-1321,346-31-1482,0.87,same_dob_similar_name
911-65-5068,346-31-1482,0.92,same_dob_similar_name
512-57-5110,624-21-2260,0.81,same_dob_similar_name
633-42-6876,402-19-6252,0.8,same_dob_similar_name
345-77-9423,788-62-5677,0.83,same_dob_similar_name
345-77-9423,990-18-1607,0.86,same_dob_similar_name
788-62-5677,990-18-1607,0.87,same_dob_similar_name
364-65-6829,628-21-6200,0.75,same_dob_similar_name
273-75-4577,675-80-4374,0.91,same_dob_similar_name
273-75-4577,187-42-7533,0.76,same_dob_similar_name
675-80-4374,187-42-7533,0.88,same_dob_similar_name
999-60-6784,356-84-2211,0.71,same_dob_similar_name
541-31-7408,791-34-8257,0.82,same_dob_similar_name
661-18-5445,464-30-6456,0.88,same_dob_similar_name
661-18-5445,967-28-5498,0.89,same_dob_similar_name
464-30-6456,967-28-5498,0.85,same_dob_similar_name
235-95-1566,699-57-8884,0.89,same_dob_similar_name
235-95-1566,259-37-3187,0.91,same_dob_similar_name
699-57-8884,259-37-3187,0.75,same_dob_similar_name
354-29-6996,374-86-7609,0.82,same_dob_similar_name
507-20-5694,756-25-8532,0.8,same_dob_similar_name
683-32-3651,154-19-7137,0.79,same_dob_similar_name
572-89-1519,103-11-5229,0.82,same_dob_similar_name
759-11-9708,630-76-9069,0.76,same_dob_similar_name
665-91-2991,196-22-4529,0.85,same_dob_similar_name
665-91-2991,290-27-6872,0.78,same_dob_similar_name
196-22-4529,290-27-6872,0.85,same_dob_similar_name
807-73-9352,594-46-1403,0.93,same_dob_similar_name
770-74-7120,479-15-7336,0.87,same_dob_similar_name
856-46-6366,364-44-1701,0.9,same_dob_similar_name
957-82-7124,110-34-6460,0.71,same_dob_similar_name
434-67-1091,509-91-4270,0.84,same_dob_similar_name
434-67-1091,504-49-1500,0.73,same_dob_similar_name
509-91-4270,504-49-1500,0.91,same_dob_similar_name
612-46-7471,124-37-7713,0.76,same_dob_similar_name
612-46-7471,242-15-8065,0.73,same_dob_similar_name
124-37-7713,242-15-8065,0.88,same_dob_similar_name
464-23-1565,327-74-6834,0.88,same_dob_similar_name
446-38-2555,431-36-1509,0.86,same_dob_similar_name
446-38-2555,404-70-6329,0.83,same_dob_similar_name
431-36-1509,404-70-6329,0.94,same_dob_similar_name
248-93-2569,647-83-7010,0.74,same_dob_similar_name
709-50-4363,984-35-7349,0.72,same_dob_similar_name
709-50-4363,212-34-6075,0.84,same_dob_similar_name
984-35-7349,212-34-6075,0.85,same_dob_similar_name
162-51-1305,759-34-8537,0.79,same_dob_similar_name
306-78-3524,535-70-4887,0.88,same_dob_similar_name
293-79-8870,980-67-1398,0.88,same_dob_similar_name
293-79-8870,616-33-1407,0.74,same_dob_similar_name
980-67-1398,616-33-1407,0.95,same_dob_similar_name
231-78-8673,374-45-7681,0.82,same_dob_similar_name
782-17-1679,795-45-9355,0.89,same_dob_similar_name
881-63-9655,893-83-1976,0.89,same_dob_similar_name
677-34-1660,462-89-1400,0.85,same_dob_similar_name
677-34-1660,958-90-1962,0.89,same_dob_similar_name
462-89-1400,958-90-1962,0.85,same_dob_similar_name
968-77-8109,267-98-4695,0.77,same_dob_similar_name
968-77-8109,450-10-5040,0.72,same_dob_similar_name
267-98-4695,450-10-5040,0.7,same_dob_similar_name
400-63-5210,525-33-8527,0.94,same_dob_similar_name
327-62-3352,754-44-9850,0.9,same_dob_similar_name
