phoneId,number,type,carrier
PH009943,312-555-1481,mobile,US Cellular
PH009944,773-555-9330,mobile,Verizon
PH009945,815-555-4568,work,AT&T
PH009946,815-555-1209,work,AT&T
PH009947,847-555-1249,mobile,Sprint
PH009948,815-555-1865,work,T-Mobile
PH009949,309-555-5433,mobile,Sprint
PH009950,815-555-3169,mobile,AT&T
PH009951,312-555-5598,mobile,AT&T
PH009952,773-555-2696,home,US Cellular
PH009953,773-555-1788,work,US Cellular
PH009954,309-555-8532,work,Verizon
PH009955,847-555-3414,mobile,Verizon
PH009956,815-555-2465,work,Verizon
PH009957,309-555-8281,home,Sprint
PH009958,217-555-3569,mobile,Sprint
PH009959,815-555-4785,work,Sprint
PH009960,312-555-8088,work,AT&T
PH009961,309-555-6384,work,T-Mobile
PH009962,847-555-8306,mobile,AT&T
PH009963,312-555-8060,home,Sprint
PH009964,773-555-5759,home,US Cellular
PH009965,217-555-3518,mobile,Sprint
PH009966,773-555-2203,mobile,Verizon
PH009967,847-555-8499,mobile,T-Mobile
PH009968,312-555-2267,home,T-Mobile
PH009969,815-555-5680,mobile,T-Mobile
PH009970,217-555-3288,home,Sprint
PH009971,815-555-4592,mobile,US Cellular
PH009972,773-555-5256,work,AT&T
PH009973,815-555-1113,mobile,T-Mobile
PH009974,217-555-9808,home,Sprint
PH009975,815-555-4663,home,AT&T
PH009976,815-555-8698,home,US Cellular
PH009977,217-555-3165,mobile,US Cellular
PH009978,312-555-7655,home,Sprint
PH009979,312-555-9624,home,US Cellular
PH009980,217-555-7480,mobile,Verizon
PH009981,630-555-7897,mobile,Verizon
PH009982,815-555-1254,mobile,Sprint
PH009983,217-555-9393,mobile,US Cellular
PH009984,847-555-6980,home,Verizon
PH009985,847-555-6363,mobile,T-Mobile
PH009986,217-555-6479,work,Sprint
PH009987,312-555-6397,home,US Cellular
PH009988,312-555-1096,mobile,T-Mobile
PH009989,815-555-7482,mobile,US Cellular
PH009990,630-555-7039,home,US Cellular
PH009991,312-555-6689,work,Sprint
PH009992,630-555-3357,mobile,US Cellular
PH009993,773-555-9108,mobile,T-Mobile
PH009994,312-555-3783,home,AT&T
PH009995,309-555-2462,home,US Cellular
PH009996,773-555-6044,mobile,US Cellular
PH009997,773-555-7683,home,AT&T
PH009998,630-555-5012,work,T-Mobile
PH009999,847-555-5286,mobile,Sprint
PH010000,309-555-2163,mobile,AT&T
PH010001,630-555-7373,mobile,AT&T
PH010002,217-555-5314,mobile,Verizon
PH010003,630-555-8985,mobile,US Cellular
PH010004,847-555-5255,mobile,T-Mobile
PH010005,217-555-8770,mobile,T-Mobile
PH010006,312-555-7955,mobile,Verizon
PH010007,309-555-8239,work,T-Mobile
PH010008,630-555-8784,mobile,Sprint
PH010009,847-555-6159,work,AT&T
PH010010,630-555-3427,mobile,AT&T
PH010011,312-555-5391,mobile,AT&T
PH010012,217-555-3688,home,US Cellular
PH010013,630-555-5142,mobile,US Cellular
PH010014,773-555-1226,mobile,AT&T
PH010015,309-555-4872,home,T-Mobile
PH010016,630-555-4980,work,US Cellular
PH010017,630-555-8064,mobile,Verizon
PH010018,815-555-6951,work,Verizon
PH010019,847-555-7425,mobile,US Cellular
PH010020,217-555-9564,home,Verizon
PH010021,217-555-4128,mobile,AT&T
PH010022,309-555-2255,mobile,AT&T
PH010023,217-555-1949,mobile,Sprint
PH010024,312-555-1069,work,Sprint
PH010025,217-555-9752,work,AT&T
PH010026,815-555-5327,work,Verizon
PH010027,815-555-6515,home,Verizon
PH010028,312-555-8443,mobile,US Cellular
PH010029,773-555-3164,home,AT&T
PH010030,312-555-2297,work,AT&T
PH010031,847-555-8551,home,US Cellular
PH010032,309-555-2113,mobile,T-Mobile
PH010033,309-555-4614,mobile,Verizon
PH010034,773-555-1383,mobile,T-Mobile
PH010035,217-555-7689,work,Verizon
PH010036,312-555-7959,mobile,AT&T
PH010037,815-555-6923,mobile,Verizon
PH010038,773-555-1107,mobile,US Cellular
PH010039,847-555-1400,mobile,Sprint
PH010040,309-555-4442,mobile,Verizon
PH010041,847-555-2738,mobile,Sprint
PH010042,773-555-8039,mobile,Verizon
PH010043,217-555-3516,mobile,AT&T
PH010044,217-555-5524,mobile,Sprint
PH010045,312-555-4719,mobile,Verizon
PH010046,773-555-5228,work,Verizon
PH010047,309-555-7369,mobile,Verizon
PH010048,847-555-9822,mobile,Sprint
PH010049,217-555-1729,home,Sprint
PH010050,847-555-1710,mobile,Sprint
PH010051,217-555-7999,mobile,Sprint
PH010052,312-555-7417,home,Sprint
PH010053,312-555-6312,mobile,T-Mobile
PH010054,630-555-9727,mobile,AT&T
PH010055,630-555-6791,mobile,Sprint
PH010056,309-555-8051,work,Sprint
PH010057,217-555-8449,work,Verizon
PH010058,309-555-9211,mobile,Verizon
PH010059,773-555-6755,home,Verizon
PH010060,847-555-4638,mobile,US Cellular
PH010061,312-555-6857,work,AT&T
PH010062,309-555-6000,mobile,AT&T
PH010063,815-555-5664,mobile,Verizon
PH010064,630-555-9727,mobile,T-Mobile
PH010065,630-555-8501,mobile,AT&T
PH010066,309-555-8664,work,AT&T
PH010067,217-555-7628,mobile,Verizon
PH010068,847-555-9288,mobile,US Cellular
PH010069,847-555-1691,mobile,Verizon
PH010070,847-555-6255,mobile,AT&T
PH010071,312-555-2267,mobile,AT&T
PH010072,309-555-6126,work,US Cellular
PH010073,312-555-8481,mobile,Sprint
PH010074,217-555-7055,work,US Cellular
PH010075,815-555-9082,mobile,US Cellular
PH010076,630-555-4341,home,Verizon
PH010077,630-555-8651,mobile,AT&T
PH010078,309-555-8262,mobile,Sprint
PH010079,217-555-8484,home,T-Mobile
PH010080,309-555-3637,home,Sprint
PH010081,309-555-2024,mobile,AT&T
PH010082,630-555-4203,home,Sprint
PH010083,312-555-6166,mobile,Sprint
PH010084,815-555-5599,mobile,Sprint
PH010085,309-555-3124,work,T-Mobile
PH010086,630-555-5626,work,T-Mobile
PH010087,217-555-8178,work,Verizon
PH010088,847-555-5559,mobile,US Cellular
PH010089,773-555-9104,mobile,T-Mobile
PH010090,217-555-9743,home,US Cellular
PH010091,312-555-4823,mobile,Sprint
PH010092,630-555-6702,work,AT&T
PH010093,217-555-9785,mobile,US Cellular
PH010094,773-555-8771,work,US Cellular
PH010095,312-555-7874,home,Verizon
PH010096,815-555-8941,mobile,US Cellular
PH010097,309-555-2796,mobile,Verizon
PH010098,847-555-4892,mobile,US Cellular
PH010099,312-555-2305,home,Verizon
PH010100,312-555-6099,work,AT&T
PH010101,773-555-5949,work,Sprint
PH010102,773-555-6892,mobile,Verizon
PH010103,847-555-8008,home,AT&T
PH010104,847-555-5608,work,Verizon
PH010105,309-555-6785,mobile,Sprint
PH010106,847-555-4611,mobile,Sprint
PH010107,847-555-6822,home,Sprint
PH010108,815-555-1632,mobile,US Cellular
PH010109,815-555-1652,mobile,US Cellular
PH010110,312-555-2948,work,T-Mobile
PH010111,773-555-6580,mobile,T-Mobile
PH010112,309-555-2876,mobile,T-Mobile
PH010113,773-555-1437,home,T-Mobile
PH010114,815-555-5981,mobile,Verizon
PH010115,630-555-4128,mobile,US Cellular
PH010116,847-555-9127,mobile,Sprint
PH010117,312-555-8729,mobile,T-Mobile
PH010118,773-555-7619,mobile,US Cellular
PH010119,815-555-7772,work,AT&T
PH010120,847-555-5315,mobile,AT&T
PH010121,815-555-2502,home,Sprint
PH010122,630-555-7843,mobile,AT&T
PH010123,217-555-6748,mobile,Verizon
PH010124,630-555-8492,work,US Cellular
PH010125,773-555-1488,mobile,US Cellular
PH010126,773-555-6668,work,Sprint
PH010127,773-555-9023,mobile,T-Mobile
PH010128,847-555-3641,mobile,Sprint
PH010129,309-555-5354,mobile,Sprint
PH010130,630-555-6346,work,Verizon
PH010131,309-555-4234,work,Verizon
PH010132,847-555-1035,work,Verizon
PH010133,312-555-8564,home,Sprint
PH010134,773-555-4579,home,AT&T
PH010135,773-555-6498,mobile,AT&T
PH010136,773-555-1261,mobile,AT&T
PH010137,312-555-8436,mobile,T-Mobile
PH010138,815-555-4274,mobile,Verizon
PH010139,630-555-2393,mobile,US Cellular
PH010140,773-555-7132,work,AT&T
PH010141,773-555-5371,mobile,Sprint
PH010142,815-555-2490,work,Verizon
PH010143,309-555-9068,mobile,T-Mobile
PH010144,309-555-7412,mobile,Verizon
PH010145,217-555-8820,mobile,US Cellular
PH010146,309-555-9398,mobile,Verizon
PH010147,309-555-4463,mobile,Sprint
PH010148,312-555-9011,mobile,Sprint
PH010149,217-555-4340,home,T-Mobile
PH010150,815-555-7429,mobile,T-Mobile
PH010151,847-555-2734,mobile,AT&T
PH010152,630-555-5749,work,US Cellular
PH010153,815-555-8061,mobile,Sprint
PH010154,309-555-3048,mobile,US Cellular
PH010155,312-555-6872,mobile,T-Mobile
PH010156,312-555-3361,mobile,AT&T
PH010157,815-555-2746,mobile,US Cellular
PH010158,815-555-3609,mobile,AT&T
PH010159,630-555-4210,mobile,US Cellular
PH010160,815-555-8912,mobile,Verizon
PH010161,815-555-3948,work,AT&T
PH010162,630-555-7211,home,US Cellular
PH010163,773-555-8103,mobile,Sprint
PH010164,312-555-1724,work,T-Mobile
PH010165,847-555-8158,mobile,US Cellular
PH010166,217-555-8651,mobile,T-Mobile
PH010167,630-555-7510,work,Verizon
PH010168,773-555-7325,mobile,T-Mobile
PH010169,312-555-2421,mobile,Sprint
PH010170,815-555-9005,mobile,T-Mobile
PH010171,312-555-4951,mobile,Sprint
PH010172,773-555-6866,mobile,AT&T
PH010173,309-555-8908,mobile,Verizon
PH010174,309-555-6397,home,Verizon
PH010175,815-555-6037,mobile,AT&T
PH010176,312-555-5448,home,AT&T
PH010177,217-555-4847,home,T-Mobile
PH010178,312-555-1875,mobile,Verizon
PH010179,815-555-9555,mobile,AT&T
PH010180,773-555-7368,mobile,T-Mobile
PH010181,847-555-3938,work,Sprint
PH010182,847-555-4535,mobile,US Cellular
PH010183,847-555-3606,home,T-Mobile
PH010184,309-555-1878,home,US Cellular
PH010185,847-555-4261,work,T-Mobile
PH010186,312-555-9112,work,Verizon
PH010187,847-555-5816,mobile,AT&T
PH010188,847-555-6033,mobile,AT&T
PH010189,312-555-3917,mobile,AT&T
PH010190,217-555-4804,mobile,AT&T
PH010191,847-555-4750,home,AT&T
PH010192,773-555-5533,mobile,Sprint
PH010193,217-555-6762,work,T-Mobile
PH010194,217-555-9296,work,Sprint
PH010195,309-555-9169,mobile,AT&T
PH010196,217-555-6439,home,US Cellular
PH010197,217-555-5687,work,T-Mobile
PH010198,773-555-2900,mobile,Sprint
PH010199,309-555-3245,mobile,Verizon
PH010200,217-555-8171,mobile,Sprint
PH010201,847-555-5290,mobile,US Cellular
PH010202,815-555-4897,work,Sprint
PH010203,309-555-3092,mobile,Verizon
PH010204,309-555-6390,mobile,US Cellular
PH010205,312-555-7888,home,Verizon
PH010206,312-555-2795,home,US Cellular
PH010207,217-555-9389,mobile,US Cellular
PH010208,309-555-5942,mobile,Verizon
PH010209,630-555-9337,mobile,AT&T
PH010210,815-555-7690,work,Verizon
PH010211,630-555-9613,mobile,Sprint
PH010212,309-555-6850,mobile,AT&T
PH010213,773-555-7773,mobile,T-Mobile
PH010214,217-555-5325,mobile,US Cellular
PH010215,217-555-5875,mobile,T-Mobile
PH010216,217-555-8434,work,Sprint
PH010217,773-555-1984,mobile,AT&T
PH010218,312-555-4390,mobile,Sprint
PH010219,773-555-7416,mobile,Sprint
PH010220,309-555-4617,mobile,Verizon
PH010221,309-555-2201,mobile,AT&T
PH010222,847-555-6045,mobile,Verizon
PH010223,847-555-2237,work,Verizon
PH010224,312-555-8603,mobile,Verizon
PH010225,630-555-8775,mobile,T-Mobile
PH010226,309-555-2580,work,AT&T
PH010227,309-555-8620,mobile,Verizon
PH010228,312-555-1993,mobile,Sprint
PH010229,217-555-5472,home,Sprint
PH010230,309-555-1820,mobile,Verizon
PH010231,309-555-6545,mobile,Verizon
PH010232,309-555-2444,mobile,Verizon
PH010233,630-555-9339,mobile,Verizon
PH010234,847-555-4954,mobile,US Cellular
PH010235,217-555-8259,mobile,T-Mobile
PH010236,815-555-9449,mobile,T-Mobile
PH010237,312-555-5096,mobile,AT&T
PH010238,815-555-8355,mobile,T-Mobile
PH010239,847-555-5101,home,US Cellular
PH010240,217-555-7885,mobile,Sprint
PH010241,309-555-6440,mobile,AT&T
PH010242,217-555-5528,work,Sprint
PH010243,773-555-7925,home,AT&T
PH010244,217-555-7973,mobile,Sprint
PH010245,847-555-8830,home,US Cellular
PH010246,847-555-8060,mobile,T-Mobile
PH010247,217-555-3749,home,Sprint
PH010248,815-555-1129,work,Verizon
PH010249,773-555-9357,mobile,AT&T
PH010250,847-555-2101,mobile,Sprint
PH010251,309-555-7621,mobile,AT&T
PH010252,773-555-2090,mobile,Verizon
PH010253,309-555-2679,mobile,AT&T
PH010254,309-555-8869,mobile,Verizon
PH010255,217-555-4659,mobile,Sprint
PH010256,309-555-8739,mobile,AT&T
PH010257,217-555-2046,mobile,AT&T
PH010258,217-555-8826,mobile,US Cellular
PH010259,312-555-7706,mobile,US Cellular
PH010260,773-555-5653,mobile,US Cellular
PH010261,630-555-9079,mobile,Sprint
PH010262,815-555-9031,home,AT&T
PH010263,217-555-2802,home,AT&T
PH010264,312-555-2205,mobile,Sprint
PH010265,630-555-9578,mobile,Sprint
PH010266,630-555-3756,mobile,Verizon
PH010267,815-555-8832,home,Sprint
PH010268,309-555-3583,home,Verizon
PH010269,630-555-1095,home,T-Mobile
PH010270,217-555-3434,mobile,US Cellular
PH010271,630-555-6957,home,US Cellular
PH010272,217-555-2631,mobile,Sprint
PH010273,847-555-7329,work,US Cellular
PH010274,309-555-2293,mobile,US Cellular
PH010275,309-555-1927,home,AT&T
PH010276,630-555-3397,mobile,T-Mobile
PH010277,630-555-3129,mobile,Sprint
PH010278,312-555-7332,home,US Cellular
PH010279,630-555-8198,mobile,Sprint
PH010280,773-555-5260,mobile,T-Mobile
PH010281,312-555-6167,mobile,Verizon
PH010282,630-555-8285,mobile,AT&T
PH010283,815-555-3343,home,AT&T
PH010284,773-555-5947,mobile,T-Mobile
PH010285,309-555-8145,work,US Cellular
PH010286,312-555-9316,home,Verizon
PH010287,815-555-6665,work,Verizon
PH010288,773-555-3035,home,Sprint
PH010289,312-555-3667,work,Verizon
PH010290,630-555-3143,mobile,Verizon
PH010291,309-555-7011,home,Verizon
PH010292,309-555-6383,work,T-Mobile
PH010293,217-555-3989,mobile,US Cellular
PH010294,217-555-7735,home,T-Mobile
PH010295,217-555-4133,work,AT&T
PH010296,630-555-9735,mobile,Sprint
PH010297,773-555-8799,mobile,US Cellular
PH010298,815-555-5601,home,AT&T
PH010299,309-555-2420,mobile,AT&T
PH010300,773-555-3498,home,AT&T
PH010301,773-555-1807,home,Sprint
PH010302,630-555-3854,home,US Cellular
PH010303,217-555-5786,work,US Cellular
PH010304,312-555-7104,work,US Cellular
PH010305,630-555-5310,mobile,Verizon
PH010306,773-555-5342,mobile,AT&T
PH010307,773-555-7146,mobile,US Cellular
PH010308,309-555-3976,mobile,Verizon
PH010309,847-555-1055,mobile,AT&T
PH010310,847-555-8689,work,T-Mobile
PH010311,847-555-2718,mobile,Sprint
PH010312,847-555-8426,mobile,Verizon
PH010313,309-555-2036,work,US Cellular
PH010314,312-555-1731,home,Verizon
PH010315,217-555-5795,home,Verizon
PH010316,312-555-2249,mobile,US Cellular
PH010317,847-555-8999,mobile,Verizon
PH010318,630-555-3030,mobile,US Cellular
PH010319,815-555-9516,mobile,T-Mobile
PH010320,847-555-3893,work,Verizon
PH010321,773-555-6253,home,AT&T
PH010322,217-555-8515,mobile,AT&T
PH010323,773-555-3001,home,US Cellular
PH010324,847-555-8598,mobile,Verizon
PH010325,815-555-4218,home,Verizon
PH010326,847-555-6610,work,T-Mobile
PH010327,815-555-7868,mobile,AT&T
PH010328,815-555-2312,home,Sprint
PH010329,217-555-1309,mobile,Verizon
PH010330,773-555-8968,mobile,Verizon
PH010331,630-555-7724,mobile,T-Mobile
PH010332,773-555-8900,mobile,US Cellular
PH010333,309-555-8758,mobile,Verizon
PH010334,773-555-7131,home,US Cellular
PH010335,217-555-4895,mobile,AT&T
PH010336,217-555-3277,home,US Cellular
PH010337,309-555-2512,mobile,T-Mobile
PH010338,773-555-4849,mobile,Verizon
PH010339,815-555-7538,mobile,T-Mobile
PH010340,217-555-3321,mobile,Verizon
PH010341,773-555-9536,mobile,Sprint
PH010342,815-555-2814,mobile,Verizon
PH010343,815-555-4406,work,AT&T
PH010344,630-555-7180,home,Verizon
PH010345,312-555-9260,mobile,T-Mobile
PH010346,773-555-2826,home,AT&T
PH010347,630-555-1508,work,Verizon
PH010348,815-555-3227,home,T-Mobile
PH010349,773-555-6521,mobile,AT&T
PH010350,773-555-6572,mobile,Sprint
PH010351,309-555-9937,mobile,US Cellular
PH010352,309-555-7546,mobile,Sprint
PH010353,630-555-1222,mobile,AT&T
PH010354,630-555-1657,mobile,Verizon
PH010355,217-555-1192,mobile,Verizon
PH010356,217-555-5916,mobile,T-Mobile
PH010357,217-555-7401,mobile,Verizon
PH010358,312-555-1620,home,T-Mobile
PH010359,815-555-2738,mobile,AT&T
PH010360,815-555-2218,work,Verizon
PH010361,847-555-8254,mobile,T-Mobile
PH010362,847-555-7268,work,T-Mobile
PH010363,312-555-2677,mobile,US Cellular
PH010364,847-555-5880,work,Sprint
PH010365,815-555-1936,mobile,AT&T
PH010366,217-555-3459,home,Verizon
PH010367,217-555-2705,mobile,AT&T
PH010368,773-555-1244,mobile,Verizon
PH010369,815-555-6192,work,AT&T
PH010370,847-555-6119,work,AT&T
PH010371,630-555-3463,mobile,Sprint
PH010372,217-555-1526,mobile,T-Mobile
PH010373,217-555-9445,mobile,AT&T
PH010374,312-555-5255,work,AT&T
PH010375,312-555-1148,home,Sprint
PH010376,309-555-5022,mobile,Sprint
PH010377,847-555-5506,mobile,Sprint
PH010378,312-555-5527,mobile,AT&T
PH010379,217-555-1027,mobile,Sprint
PH010380,312-555-4989,mobile,Verizon
PH010381,312-555-4341,mobile,US Cellular
PH010382,312-555-8925,home,AT&T
PH010383,773-555-8068,home,Verizon
PH010384,815-555-7730,home,Verizon
PH010385,312-555-8287,home,Verizon
PH010386,309-555-3960,mobile,US Cellular
PH010387,773-555-9951,mobile,Sprint
PH010388,217-555-1182,mobile,Sprint
PH010389,847-555-3824,work,T-Mobile
PH010390,312-555-6870,home,US Cellular
PH010391,630-555-5222,home,Sprint
PH010392,217-555-1094,home,AT&T
PH010393,217-555-4394,work,T-Mobile
PH010394,312-555-1185,work,T-Mobile
PH010395,217-555-3025,mobile,Sprint
PH010396,312-555-2957,mobile,Sprint
PH010397,847-555-3839,mobile,AT&T
PH010398,815-555-6414,home,Verizon
PH010399,847-555-4556,mobile,T-Mobile
PH010400,773-555-3895,work,Verizon
PH010401,312-555-3832,work,Verizon
PH010402,773-555-1104,home,Verizon
PH010403,309-555-5756,mobile,T-Mobile
PH010404,312-555-4153,mobile,Sprint
PH010405,815-555-6633,mobile,Verizon
PH010406,847-555-2207,mobile,Sprint
PH010407,847-555-2034,mobile,Verizon
PH010408,630-555-7594,work,US Cellular
PH010409,815-555-4720,home,Sprint
PH010410,847-555-6116,mobile,T-Mobile
PH010411,773-555-1364,work,Sprint
PH010412,217-555-1682,mobile,Sprint
PH010413,217-555-4233,home,US Cellular
PH010414,773-555-5925,home,Verizon
PH010415,815-555-6560,home,Verizon
PH010416,312-555-1443,home,AT&T
PH010417,309-555-1207,work,AT&T
PH010418,815-555-9045,work,Verizon
PH010419,217-555-9588,mobile,US Cellular
PH010420,217-555-2256,work,US Cellular
PH010421,773-555-8308,work,T-Mobile
PH010422,630-555-4785,mobile,Verizon
PH010423,309-555-1817,work,AT&T
PH010424,630-555-8796,mobile,T-Mobile
PH010425,630-555-1653,mobile,AT&T
PH010426,217-555-6649,work,AT&T
PH010427,630-555-6005,mobile,US Cellular
PH010428,309-555-3362,mobile,Sprint
PH010429,815-555-8766,work,US Cellular
PH010430,217-555-8921,home,Sprint
PH010431,847-555-1165,mobile,AT&T
PH010432,773-555-3967,work,T-Mobile
PH010433,630-555-7510,home,US Cellular
PH010434,773-555-4843,work,Sprint
PH010435,217-555-2036,mobile,Verizon
PH010436,630-555-7723,mobile,T-Mobile
PH010437,312-555-8807,work,US Cellular
PH010438,630-555-7908,mobile,US Cellular
PH010439,815-555-2599,mobile,T-Mobile
PH010440,847-555-2762,work,Sprint
PH010441,217-555-8368,mobile,Verizon
PH010442,312-555-9455,home,T-Mobile
PH010443,217-555-6682,mobile,T-Mobile
PH010444,630-555-3036,work,T-Mobile
PH010445,217-555-8880,mobile,Verizon
PH010446,309-555-3867,mobile,Sprint
PH010447,815-555-5584,mobile,AT&T
PH010448,312-555-1385,home,Sprint
PH010449,312-555-6368,work,US Cellular
PH010450,847-555-3711,work,Verizon
PH010451,630-555-5757,work,Sprint
PH010452,312-555-8299,mobile,Sprint
PH010453,630-555-1467,home,AT&T
PH010454,815-555-9890,mobile,Verizon
PH010455,847-555-2674,mobile,T-Mobile
PH010456,217-555-9088,home,Sprint
PH010457,312-555-3468,home,Sprint
PH010458,309-555-6618,work,Sprint
PH010459,847-555-5469,mobile,Verizon
PH010460,217-555-1835,mobile,T-Mobile
PH010461,847-555-6248,mobile,US Cellular
PH010462,217-555-5561,mobile,US Cellular
PH010463,773-555-1952,mobile,T-Mobile
PH010464,309-555-5984,mobile,Sprint
PH010465,847-555-3798,mobile,T-Mobile
PH010466,217-555-7154,mobile,Sprint
PH010467,217-555-4667,mobile,AT&T
PH010468,773-555-2839,home,T-Mobile
PH010469,309-555-3878,mobile,AT&T
PH010470,630-555-9633,home,US Cellular
PH010471,312-555-4967,home,T-Mobile
PH010472,815-555-3799,mobile,AT&T
PH010473,630-555-1834,mobile,T-Mobile
PH010474,847-555-1880,home,Sprint
PH010475,217-555-5362,mobile,Sprint
PH010476,309-555-3921,mobile,T-Mobile
PH010477,312-555-6319,mobile,Sprint
PH010478,847-555-2463,mobile,AT&T
PH010479,217-555-4948,mobile,Sprint
PH010480,773-555-2856,mobile,AT&T
PH010481,309-555-1050,mobile,AT&T
PH010482,309-555-3276,mobile,Verizon
PH010483,217-555-9849,home,US Cellular
PH010484,630-555-2154,work,Verizon
PH010485,312-555-3719,work,US Cellular
PH010486,847-555-1245,mobile,T-Mobile
PH010487,630-555-9666,mobile,AT&T
PH010488,309-555-6214,home,Sprint
PH010489,309-555-2042,mobile,Sprint
PH010490,312-555-7305,mobile,T-Mobile
PH010491,309-555-5028,mobile,Verizon
PH010492,773-555-2065,home,US Cellular
PH010493,630-555-3566,home,US Cellular
PH010494,309-555-1878,mobile,Sprint
PH010495,630-555-2292,work,T-Mobile
PH010496,847-555-8288,home,US Cellular
PH010497,217-555-5527,work,Sprint
PH010498,312-555-9641,mobile,Sprint
PH010499,773-555-8418,mobile,T-Mobile
PH010500,309-555-6111,home,Sprint
PH010501,630-555-5746,work,AT&T
PH010502,847-555-6013,work,Verizon
PH010503,630-555-2539,mobile,US Cellular
PH010504,815-555-8538,mobile,US Cellular
PH010505,847-555-7471,mobile,Sprint
PH010506,773-555-3847,mobile,US Cellular
PH010507,630-555-4892,home,Verizon
PH010508,815-555-2461,mobile,US Cellular
PH010509,217-555-4020,home,T-Mobile
PH010510,309-555-3915,mobile,T-Mobile
PH010511,773-555-9941,mobile,Verizon
PH010512,847-555-1241,mobile,T-Mobile
PH010513,815-555-8483,home,AT&T
PH010514,217-555-5202,mobile,Sprint
PH010515,630-555-3088,mobile,T-Mobile
PH010516,312-555-5861,work,Sprint
PH010517,847-555-1333,mobile,Sprint
PH010518,309-555-1619,mobile,T-Mobile
PH010519,217-555-1085,mobile,US Cellular
PH010520,815-555-6352,mobile,Verizon
PH010521,309-555-7177,mobile,Verizon
PH010522,309-555-6445,work,Sprint
PH010523,309-555-1261,mobile,T-Mobile
PH010524,773-555-7507,home,Sprint
PH010525,815-555-4521,mobile,AT&T
PH010526,630-555-3881,home,T-Mobile
PH010527,312-555-4884,home,Sprint
PH010528,312-555-9854,mobile,T-Mobile
PH010529,630-555-7043,mobile,AT&T
PH010530,312-555-2951,mobile,AT&T
PH010531,773-555-8760,mobile,US Cellular
PH010532,773-555-4222,mobile,US Cellular
PH010533,847-555-1220,mobile,AT&T
PH010534,309-555-4334,mobile,US Cellular
PH010535,815-555-5561,mobile,US Cellular
PH010536,312-555-8263,work,AT&T
PH010537,773-555-1674,mobile,T-Mobile
PH010538,217-555-4260,mobile,Verizon
PH010539,217-555-4961,home,US Cellular
PH010540,815-555-7789,work,Sprint
PH010541,630-555-7906,home,AT&T
PH010542,815-555-5239,mobile,US Cellular
PH010543,309-555-7667,mobile,T-Mobile
PH010544,630-555-3275,mobile,US Cellular
PH010545,217-555-5226,mobile,AT&T
PH010546,309-555-9258,mobile,Verizon
PH010547,217-555-4663,mobile,Verizon
PH010548,309-555-7419,mobile,Verizon
PH010549,847-555-4609,work,T-Mobile
PH010550,847-555-2713,mobile,Verizon
PH010551,773-555-8197,home,Sprint
PH010552,773-555-2382,mobile,US Cellular
PH010553,312-555-5471,home,AT&T
PH010554,847-555-2134,mobile,AT&T
PH010555,217-555-4672,mobile,Sprint
PH010556,847-555-5221,mobile,Sprint
PH010557,217-555-5250,mobile,Verizon
PH010558,630-555-8077,mobile,Sprint
PH010559,630-555-8494,home,Sprint
PH010560,309-555-3573,mobile,T-Mobile
PH010561,217-555-9704,work,Sprint
PH010562,773-555-6622,mobile,Sprint
PH010563,309-555-1367,mobile,AT&T
PH010564,773-555-1275,mobile,Verizon
PH010565,773-555-2163,mobile,T-Mobile
PH010566,217-555-3497,mobile,US Cellular
PH010567,630-555-5803,work,US Cellular
PH010568,217-555-7520,mobile,T-Mobile
PH010569,815-555-7536,home,US Cellular
PH010570,773-555-8896,mobile,T-Mobile
PH010571,217-555-1906,mobile,US Cellular
PH010572,309-555-5993,mobile,US Cellular
PH010573,773-555-4079,home,Verizon
PH010574,815-555-4099,mobile,T-Mobile
PH010575,312-555-1110,mobile,US Cellular
PH010576,847-555-4484,mobile,AT&T
PH010577,630-555-3689,work,US Cellular
PH010578,630-555-1115,mobile,Verizon
PH010579,312-555-5336,mobile,Verizon
PH010580,630-555-9858,mobile,US Cellular
PH010581,847-555-1312,mobile,T-Mobile
PH010582,309-555-8351,mobile,Verizon
PH010583,773-555-2779,mobile,Sprint
PH010584,217-555-7753,home,US Cellular
PH010585,847-555-6156,home,Verizon
PH010586,847-555-6553,mobile,Verizon
PH010587,773-555-7612,home,AT&T
PH010588,309-555-3218,work,Sprint
PH010589,847-555-9339,mobile,US Cellular
PH010590,309-555-9161,mobile,Verizon
PH010591,312-555-6196,mobile,AT&T
PH010592,630-555-6551,home,AT&T
PH010593,312-555-3946,mobile,US Cellular
PH010594,815-555-2264,mobile,AT&T
PH010595,847-555-8552,mobile,US Cellular
PH010596,309-555-8307,home,US Cellular
PH010597,309-555-8908,mobile,US Cellular
PH010598,312-555-2624,mobile,US Cellular
PH010599,847-555-2593,home,AT&T
PH010600,309-555-3889,work,AT&T
PH010601,773-555-2263,mobile,Sprint
PH010602,847-555-2685,mobile,Verizon
PH010603,309-555-5301,work,US Cellular
PH010604,217-555-2202,home,AT&T
PH010605,309-555-4136,home,Sprint
PH010606,312-555-4534,mobile,T-Mobile
PH010607,773-555-2706,mobile,AT&T
PH010608,773-555-5646,mobile,T-Mobile
PH010609,773-555-3623,home,AT&T
PH010610,815-555-4229,home,US Cellular
PH010611,312-555-9177,mobile,Sprint
PH010612,773-555-7480,work,Verizon
PH010613,312-555-2386,work,Sprint
PH010614,847-555-6789,mobile,AT&T
PH010615,847-555-1869,mobile,Verizon
PH010616,630-555-8696,mobile,AT&T
