person1Ssn,person2Ssn,type,since
658-74-8602,449-17-1304,undisclosed,2019-01-13
213-87-5573,174-89-6624,undisclosed,2018-03-04
491-24-2359,530-64-9229,undisclosed,2019-12-06
348-49-1239,588-27-5180,undisclosed,2021-04-03
677-40-3581,899-95-3728,undisclosed,2021-03-30
829-27-2049,947-84-7440,undisclosed,2021-03-20
558-12-7316,591-29-9016,undisclosed,2022-03-19
369-25-4024,423-59-2504,undisclosed,2020-06-23
846-64-8554,172-55-3354,undisclosed,2021-04-25
358-69-4838,317-53-3626,undisclosed,2020-10-19
553-24-1605,284-34-8878,undisclosed,2019-09-17
754-29-3365,130-59-9216,undisclosed,2022-11-23
906-81-3384,373-95-9738,undisclosed,2020-03-01
611-21-2623,300-18-7287,undisclosed,2018-07-08
383-68-9241,647-14-3388,undisclosed,2020-02-27
312-73-5097,807-51-3340,undisclosed,2021-09-13
650-78-6942,793-66-7641,undisclosed,2021-07-17
133-34-9939,871-13-1655,undisclosed,2021-11-08
951-60-1403,458-57-7711,undisclosed,2018-06-11
316-82-3672,572-47-9651,undisclosed,2021-02-25
846-85-8958,193-98-4405,undisclosed,2018-03-18
484-12-6047,566-88-5097,undisclosed,2022-01-01
228-68-1548,156-86-2010,undisclosed,2019-06-16
444-69-6964,461-64-6255,undisclosed,2019-10-07
529-45-9500,243-49-1851,undisclosed,2018-11-09
338-17-2222,235-46-2210,undisclosed,2022-04-14
763-22-2189,178-82-7483,undisclosed,2020-09-26
861-92-8749,425-52-6141,undisclosed,2022-12-31
777-90-1728,416-92-4728,undisclosed,2019-03-16
856-75-2915,580-66-1060,undisclosed,2020-10-09
816-28-3083,974-37-4650,undisclosed,2018-01-26
603-10-3788,626-39-6298,undisclosed,2022-06-21
637-83-2352,316-29-9334,undisclosed,2020-06-17
354-27-5133,599-93-3540,undisclosed,2019-04-11
417-89-5658,659-57-5894,undisclosed,2022-05-23
793-49-2040,153-69-7234,undisclosed,2018-04-03
309-33-1067,862-69-5054,undisclosed,2021-04-07
866-45-3333,809-99-2752,undisclosed,2019-01-28
843-14-7648,550-16-8075,undisclosed,2021-12-30
162-81-4377,638-87-8602,undisclosed,2021-02-18
601-49-6714,576-47-8902,undisclosed,2022-08-13
261-66-8665,362-37-9337,undisclosed,2019-12-09
712-25-9428,982-38-3151,undisclosed,2018-09-06
450-90-1186,548-99-8898,undisclosed,2022-06-01
136-23-8491,990-59-8605,undisclosed,2022-11-10
855-10-2407,675-73-7691,undisclosed,2018-06-30
969-79-1161,810-92-3417,undisclosed,2021-09-18
926-52-1009,507-98-6251,undisclosed,2019-07-24
649-20-3085,689-85-4558,undisclosed,2022-06-09
886-65-6307,953-39-9967,undisclosed,2022-03-23
128-19-5225,718-97-3345,undisclosed,2019-10-11
863-47-2838,883-52-4629,undisclosed,2022-04-17
782-96-1824,577-49-1902,undisclosed,2019-02-22
300-34-1739,801-40-5295,undisclosed,2019-10-19
252-62-6453,898-38-5057,undisclosed,2020-12-01
393-48-9836,687-50-7817,undisclosed,2019-10-28
203-35-4162,319-98-1980,undisclosed,2022-10-25
627-39-4857,631-88-6170,undisclosed,2020-11-26
937-36-4646,707-36-7975,undisclosed,2020-02-02
810-47-2431,785-10-3000,undisclosed,2020-01-10
545-95-6442,972-73-4160,undisclosed,2018-11-05
306-42-6296,112-44-8007,undisclosed,2018-02-16
672-92-9399,555-78-6462,undisclosed,2020-07-21
711-26-1052,249-42-6589,undisclosed,2018-08-03
425-14-3930,778-81-7408,undisclosed,2018-02-03
437-20-5542,108-81-8319,undisclosed,2020-05-21
356-31-2153,167-49-8844,undisclosed,2020-05-14
153-79-3357,740-54-3453,undisclosed,2021-10-04
311-11-4722,507-90-7607,undisclosed,2022-04-17
419-16-4714,501-63-4432,undisclosed,2018-11-26
550-23-3079,293-87-5931,undisclosed,2021-02-27
685-87-7882,536-36-8665,undisclosed,2018-10-24
548-16-8831,586-51-4074,undisclosed,2022-03-27
675-21-8963,729-61-9301,undisclosed,2021-10-17
513-71-2048,247-22-1694,undisclosed,2019-05-10
408-72-4304,751-33-9602,undisclosed,2020-01-31
411-15-2744,214-74-3267,undisclosed,2020-01-08
349-78-9910,785-10-1402,undisclosed,2018-12-19
393-10-9312,747-30-7899,undisclosed,2021-08-08
433-77-7353,943-55-6927,undisclosed,2019-04-29
342-86-9801,364-67-1040,undisclosed,2021-06-24
132-56-1575,435-97-3255,undisclosed,2021-04-01
712-65-2975,788-56-7066,undisclosed,2018-06-29
500-24-9591,310-62-4641,undisclosed,2022-08-12
908-90-7796,384-23-4297,undisclosed,2018-07-30
402-75-8774,534-29-8507,undisclosed,2019-12-06
267-38-6817,651-22-2812,undisclosed,2018-09-07
389-61-7413,412-72-6537,undisclosed,2018-12-07
279-19-8438,501-73-6346,undisclosed,2021-03-24
358-52-3062,125-20-9012,undisclosed,2019-06-29
351-73-3429,510-13-6751,undisclosed,2019-02-22
158-35-9043,566-45-2435,undisclosed,2021-06-03
218-11-3943,169-93-7071,undisclosed,2019-01-27
844-19-4767,434-22-6758,undisclosed,2021-11-16
653-53-9496,924-16-1224,undisclosed,2018-09-25
838-13-1672,882-66-1639,undisclosed,2020-08-25
434-22-1348,347-12-3096,undisclosed,2019-04-07
334-75-9203,444-80-3613,undisclosed,2018-04-16
457-89-2532,633-42-8219,undisclosed,2019-12-11
992-43-7011,534-33-6560,undisclosed,2019-04-22
850-72-1333,808-71-9282,undisclosed,2018-05-07
681-27-9727,371-59-4755,undisclosed,2020-12-09
728-95-8940,252-61-7005,undisclosed,2018-10-09
177-57-2688,755-15-4277,undisclosed,2020-01-25
516-67-9546,469-86-6201,undisclosed,2019-12-28
890-52-5934,814-51-7512,undisclosed,2020-04-16
707-10-1058,138-57-4167,undisclosed,2022-09-16
212-16-9785,734-44-4830,undisclosed,2021-04-25
379-65-6184,919-84-7436,undisclosed,2018-02-16
289-83-3201,349-34-9850,undisclosed,2021-11-21
663-20-6973,916-15-8287,undisclosed,2020-03-24
589-58-2076,843-75-1999,undisclosed,2021-10-29
145-11-7564,636-10-2234,undisclosed,2018-09-19
738-85-1419,474-30-2755,undisclosed,2022-04-11
498-74-5102,807-61-7366,undisclosed,2018-06-03
135-15-4963,933-39-5383,undisclosed,2018-04-19
254-80-9138,510-49-9105,undisclosed,2022-08-19
511-24-8896,764-22-9791,undisclosed,2020-07-31
922-33-9800,136-37-6820,undisclosed,2021-09-18
344-21-4730,741-35-6360,undisclosed,2018-06-13
794-51-5315,184-34-8856,undisclosed,2018-12-20
897-73-5853,952-99-8817,undisclosed,2019-03-09
616-20-9275,712-25-2181,undisclosed,2022-03-27
640-34-6130,687-45-2035,undisclosed,2018-01-06
471-39-6054,248-83-8308,undisclosed,2022-02-12
141-79-5395,412-88-9978,undisclosed,2022-04-24
518-35-1059,669-40-3234,undisclosed,2018-09-09
971-52-7449,698-57-2411,undisclosed,2020-12-29
645-37-6857,904-61-9433,undisclosed,2021-07-17
381-67-6255,471-88-3409,undisclosed,2021-03-20
984-61-5472,839-88-9516,undisclosed,2020-10-07
111-16-6908,263-31-7002,undisclosed,2021-09-28
310-97-5832,369-68-8514,undisclosed,2022-05-29
327-69-2204,532-39-9753,undisclosed,2022-02-15
547-96-7027,730-97-5185,undisclosed,2022-03-14
789-26-6511,936-48-5490,undisclosed,2022-06-02
666-30-2301,184-95-4381,undisclosed,2020-09-10
522-99-7188,908-73-4092,undisclosed,2022-03-19
847-66-2013,790-47-6783,undisclosed,2022-08-09
453-29-7652,161-12-8235,undisclosed,2018-12-02
800-70-6673,649-34-5542,undisclosed,2021-04-20
318-83-6609,181-99-7384,undisclosed,2020-09-10
428-97-4199,822-72-8257,undisclosed,2021-07-21
422-80-9566,611-24-7016,undisclosed,2021-06-13
866-61-9307,853-90-8722,undisclosed,2018-10-05
911-70-2787,313-14-9689,undisclosed,2020-09-05
606-49-9779,861-75-6261,undisclosed,2019-10-11
681-27-1756,614-68-6357,undisclosed,2022-01-11
275-54-2931,336-85-7176,undisclosed,2018-05-11
870-49-7938,967-91-3261,undisclosed,2018-03-09
697-78-6458,269-78-4636,undisclosed,2020-07-06
409-10-9937,455-97-6900,undisclosed,2021-01-07
705-51-4205,471-48-6317,undisclosed,2020-10-30
234-30-9346,776-16-9513,undisclosed,2019-12-18
165-39-3460,172-78-8897,undisclosed,2022-10-08
550-76-4536,175-22-4825,undisclosed,2018-04-02
784-47-5878,864-69-3207,undisclosed,2020-01-29
758-25-7507,993-44-1458,undisclosed,2019-06-27
617-73-1345,364-58-9396,undisclosed,2022-02-22
129-71-4372,980-53-5670,undisclosed,2022-06-24
233-48-3169,747-51-7816,undisclosed,2019-11-13
490-94-2639,392-86-7989,undisclosed,2021-04-25
385-74-6752,497-22-7124,undisclosed,2022-06-03
241-61-9305,648-31-9584,undisclosed,2019-05-25
858-38-2055,480-92-4786,undisclosed,2021-08-22
992-12-8449,768-97-8195,undisclosed,2019-07-27
692-27-2082,742-39-8220,undisclosed,2020-05-14
969-24-6084,167-45-5801,undisclosed,2022-08-31
819-23-1787,439-17-5075,undisclosed,2022-07-27
430-11-5290,880-54-2876,undisclosed,2020-09-16
984-14-8996,183-40-5438,undisclosed,2019-09-20
687-91-8796,582-84-2282,undisclosed,2019-06-05
299-73-9880,996-53-7865,undisclosed,2022-02-28
446-50-6532,822-29-5556,undisclosed,2021-04-15
359-18-6130,493-18-1542,undisclosed,2019-07-24
127-77-4577,535-75-9733,undisclosed,2022-09-24
920-96-9399,352-42-6334,undisclosed,2019-12-05
751-76-5394,671-32-8627,undisclosed,2018-03-18
732-77-3206,968-29-2099,undisclosed,2020-12-26
340-91-2332,881-18-5291,undisclosed,2021-05-19
595-13-1407,463-46-6706,undisclosed,2021-06-03
868-47-8683,754-45-6093,undisclosed,2022-04-12
185-79-9807,187-98-3031,undisclosed,2018-03-29
756-99-7510,520-47-5708,undisclosed,2018-08-04
652-85-3230,882-68-5015,undisclosed,2020-12-15
285-59-6458,391-99-6784,undisclosed,2019-02-16
232-37-4908,901-22-2166,undisclosed,2020-07-25
205-88-5036,353-78-5909,undisclosed,2020-07-31
623-51-3453,168-95-3681,undisclosed,2018-07-04
796-15-8515,415-55-2266,undisclosed,2021-04-04
717-72-9052,720-32-7703,undisclosed,2022-07-13
109-43-3011,934-41-3598,undisclosed,2018-01-11
970-60-7084,287-28-7879,undisclosed,2018-08-13
468-30-9457,877-14-9924,undisclosed,2021-06-22
370-39-5122,593-88-2650,undisclosed,2020-04-04
789-83-4072,849-19-5962,undisclosed,2018-03-23
808-69-2755,407-56-2551,undisclosed,2021-07-17
994-40-8904,776-76-8914,undisclosed,2020-03-29
748-66-4866,209-96-3314,undisclosed,2020-01-22
378-48-4900,334-40-2554,undisclosed,2020-12-17
757-42-4433,454-20-5994,undisclosed,2019-10-23
107-90-7173,103-33-6540,undisclosed,2022-03-19
169-13-6549,623-67-8033,undisclosed,2020-03-06
203-14-8699,744-85-1362,undisclosed,2021-08-07
100-95-9836,676-22-8750,undisclosed,2019-01-04
706-82-3764,893-76-6774,undisclosed,2021-10-26
129-54-8371,265-45-2216,undisclosed,2022-06-09
870-44-9939,251-85-4538,undisclosed,2021-07-22
734-59-6466,396-17-8882,undisclosed,2022-12-28
498-52-1297,232-73-8576,undisclosed,2019-07-01
470-29-7812,543-25-5662,undisclosed,2022-01-19
567-48-5387,697-93-8065,undisclosed,2022-07-18
225-97-5766,523-68-4100,undisclosed,2018-12-19
336-50-9270,521-68-9982,undisclosed,2022-08-15
716-11-7517,728-26-9630,undisclosed,2020-11-17
285-76-8797,772-54-3616,undisclosed,2018-09-21
973-23-6744,639-15-8257,undisclosed,2020-08-18
343-66-7233,699-87-2531,undisclosed,2022-04-25
977-44-6856,923-53-3914,undisclosed,2022-12-06
769-39-5993,301-89-1401,undisclosed,2019-08-04
745-82-3119,784-39-8713,undisclosed,2021-11-16
922-64-4823,666-34-5687,undisclosed,2019-05-19
295-31-6793,373-24-9103,undisclosed,2018-12-12
115-89-4177,846-72-9232,undisclosed,2021-03-04
354-50-4246,251-79-8864,undisclosed,2022-02-23
501-21-9535,880-52-7786,undisclosed,2018-06-23
177-99-9902,494-26-9408,undisclosed,2021-05-18
528-27-6068,471-39-5633,undisclosed,2021-03-22
787-82-2077,146-53-7693,undisclosed,2021-09-19
831-77-1843,850-56-5685,undisclosed,2020-12-27
132-19-6392,908-33-7963,undisclosed,2020-03-10
195-75-1778,515-82-4694,undisclosed,2018-05-04
147-40-8116,872-22-9694,undisclosed,2019-11-11
797-51-5439,710-93-6869,undisclosed,2021-03-03
286-61-6450,445-22-2949,undisclosed,2019-09-14
154-21-5243,534-26-6852,undisclosed,2020-08-10
787-39-8528,570-90-9135,undisclosed,2022-08-22
622-83-6804,957-20-3567,undisclosed,2019-04-14
544-16-9148,843-52-7726,undisclosed,2019-01-02
512-29-6365,251-45-3818,undisclosed,2022-04-11
744-76-4050,686-56-9659,undisclosed,2021-09-04
576-71-1109,689-83-9776,undisclosed,2019-07-16
843-20-5282,834-19-7557,undisclosed,2021-10-14
878-99-4974,313-79-2411,undisclosed,2018-04-25
740-39-8797,156-79-1442,undisclosed,2020-05-05
296-79-3106,993-26-9237,undisclosed,2021-03-06
382-52-3358,995-93-7037,undisclosed,2020-11-01
795-27-8924,957-74-5912,undisclosed,2021-07-24
802-39-5491,542-86-2891,undisclosed,2020-02-23
523-37-4394,309-65-2574,undisclosed,2019-05-31
203-85-5938,439-74-6296,undisclosed,2018-10-14
905-66-1130,723-11-3411,undisclosed,2021-06-25
331-42-7003,173-40-7307,undisclosed,2018-03-27
318-66-1490,132-97-6153,undisclosed,2019-10-22
604-62-5479,700-97-9247,undisclosed,2021-07-15
926-76-1713,983-10-2200,undisclosed,2019-05-17
802-52-9791,654-84-4723,undisclosed,2021-03-03
757-77-2230,657-88-9467,undisclosed,2021-05-30
616-76-9993,397-84-9222,undisclosed,2020-08-27
155-97-2710,187-52-9869,undisclosed,2021-02-17
581-62-5663,342-23-1443,undisclosed,2020-10-21
695-73-7928,854-79-8160,undisclosed,2018-09-27
840-30-8389,314-42-3591,undisclosed,2022-08-15
286-98-6065,583-98-2576,undisclosed,2022-12-03
495-38-9697,323-21-9259,undisclosed,2019-05-03
241-62-3430,567-48-5810,undisclosed,2021-01-08
996-64-5388,782-20-9264,undisclosed,2019-10-14
304-11-5375,131-37-2149,undisclosed,2018-09-22
533-41-3478,898-65-4455,undisclosed,2018-10-21
256-30-3275,654-63-8434,undisclosed,2018-07-16
580-53-8819,297-43-5889,undisclosed,2018-06-25
235-36-6166,364-32-8292,undisclosed,2018-03-17
440-29-7917,850-57-5642,undisclosed,2019-08-14
371-28-3030,640-71-9031,undisclosed,2021-10-24
361-13-1522,907-28-8518,undisclosed,2021-09-09
469-64-4033,248-57-1316,undisclosed,2018-03-12
425-77-1500,629-83-4026,undisclosed,2022-11-10
239-17-8916,614-64-6003,undisclosed,2019-04-25
924-35-2697,656-60-4561,undisclosed,2021-01-18
618-34-2037,473-58-6802,undisclosed,2019-03-29
322-44-3153,767-44-1714,undisclosed,2022-06-22
568-99-4536,959-56-6601,undisclosed,2020-06-08
679-22-8548,931-47-7372,undisclosed,2020-09-16
493-61-7907,981-65-4366,undisclosed,2020-02-22
607-27-3512,404-55-4294,undisclosed,2020-02-07
242-19-7643,895-28-9155,undisclosed,2020-12-28
235-11-6239,524-12-6492,undisclosed,2021-07-27
532-85-8134,627-83-8082,undisclosed,2022-03-14
523-30-9560,682-54-4920,undisclosed,2021-03-28
805-36-3474,901-19-5503,undisclosed,2021-04-13
265-79-4024,826-26-6542,undisclosed,2019-08-26
403-72-3908,386-29-3948,undisclosed,2018-01-23
901-86-9210,569-63-7617,undisclosed,2020-05-19
169-54-8581,327-49-5330,undisclosed,2022-02-15
189-96-8110,833-32-1414,undisclosed,2020-12-04
164-91-2681,190-11-3790,undisclosed,2020-10-22
250-23-3146,282-96-2621,undisclosed,2022-05-14
286-93-8037,802-40-6747,undisclosed,2021-03-28
968-58-1302,451-60-2259,undisclosed,2019-10-23
417-73-6312,407-83-3019,undisclosed,2020-08-05
552-12-1747,489-32-7967,undisclosed,2018-02-16
123-77-3519,759-41-8208,undisclosed,2018-03-30
718-41-7277,720-38-2358,undisclosed,2018-04-25
167-19-2932,589-88-4614,undisclosed,2021-12-04
301-63-7364,688-28-4840,undisclosed,2022-05-01
203-32-2157,484-54-5441,undisclosed,2020-07-19
303-19-8566,156-66-9861,undisclosed,2021-05-04
272-95-5776,726-76-5691,undisclosed,2020-05-15
258-47-6768,265-48-9289,undisclosed,2020-06-28
636-52-8884,292-47-1365,undisclosed,2018-12-17
636-88-3309,378-14-2664,undisclosed,2020-12-19
844-22-4106,468-16-6072,undisclosed,2020-08-29
115-83-4747,604-97-8925,undisclosed,2020-07-17
687-34-6776,245-65-8722,undisclosed,2019-10-12
702-15-5779,409-94-8370,undisclosed,2019-08-30
301-76-2996,673-80-2810,undisclosed,2022-08-24
622-53-4826,836-55-6798,undisclosed,2019-12-12
989-54-1449,158-14-4169,undisclosed,2022-04-24
818-68-2533,863-82-5150,undisclosed,2019-01-23
929-99-2801,823-84-6568,undisclosed,2020-09-28
428-17-9056,567-96-8711,undisclosed,2022-11-02
332-31-9569,550-23-2645,undisclosed,2018-10-05
433-68-8850,242-31-3844,undisclosed,2018-08-13
436-52-2369,898-24-8704,undisclosed,2022-07-14
494-72-9551,989-71-8124,undisclosed,2022-12-06
109-84-8309,880-14-3051,undisclosed,2022-05-24
145-21-3110,733-73-5559,undisclosed,2022-03-10
348-20-9298,875-62-7335,undisclosed,2019-06-02
230-46-4031,603-49-6390,undisclosed,2020-07-17
129-49-3976,927-36-4133,undisclosed,2022-03-29
654-20-7939,212-79-2032,undisclosed,2021-07-11
151-52-6930,126-73-6152,undisclosed,2019-03-04
653-98-4874,403-29-9796,undisclosed,2018-07-28
687-43-1400,244-40-2188,undisclosed,2020-07-25
947-46-8579,948-81-2044,undisclosed,2019-07-18
770-54-5353,416-54-2074,undisclosed,2019-01-02
569-68-7348,766-26-8016,undisclosed,2021-02-13
518-91-9189,145-15-8164,undisclosed,2019-11-30
549-29-5165,685-17-1695,undisclosed,2020-11-13
563-20-2554,359-63-3203,undisclosed,2022-01-12
473-67-9842,577-93-5712,undisclosed,2020-09-24
513-19-9460,165-77-3016,undisclosed,2020-08-03
708-36-7700,554-94-2556,undisclosed,2018-01-23
495-64-3342,399-56-1362,undisclosed,2022-11-21
874-60-1282,427-92-9193,undisclosed,2020-06-17
642-50-1361,559-30-3319,undisclosed,2022-12-07
823-21-3320,463-28-8081,undisclosed,2022-12-12
663-28-1384,451-66-8739,undisclosed,2020-06-10
683-55-4839,798-16-3081,undisclosed,2022-08-11
646-32-8440,826-87-5636,undisclosed,2020-12-15
118-87-7428,804-50-4116,undisclosed,2018-02-13
322-58-7668,391-60-9070,undisclosed,2022-10-18
495-94-8029,185-82-2251,undisclosed,2020-08-14
206-15-7099,829-83-1227,undisclosed,2021-12-30
643-97-4009,963-12-9749,undisclosed,2020-12-27
739-29-1405,316-62-4687,undisclosed,2020-08-19
167-75-8851,844-59-7031,undisclosed,2020-06-03
853-51-7875,532-46-4098,undisclosed,2018-07-15
709-34-2512,244-22-7931,undisclosed,2019-07-01
171-90-6428,456-22-5479,undisclosed,2019-07-15
539-89-5712,993-31-2135,undisclosed,2022-09-14
239-39-2404,222-59-2226,undisclosed,2020-07-17
831-24-3333,916-92-4821,undisclosed,2020-11-19
396-69-6302,622-15-4521,undisclosed,2019-03-03
710-47-6491,614-34-8664,undisclosed,2019-07-31
762-98-6042,239-21-7293,undisclosed,2019-02-06
224-86-9356,791-39-6365,undisclosed,2022-01-26
458-99-5835,759-61-5467,undisclosed,2019-07-14
803-86-8233,626-45-1181,undisclosed,2019-09-11
887-42-4094,654-44-1081,undisclosed,2022-01-29
964-74-7217,270-93-7155,undisclosed,2018-12-29
822-93-7952,975-94-2330,undisclosed,2021-08-04
101-52-8991,101-71-9051,undisclosed,2021-02-08
353-42-9090,691-45-3183,undisclosed,2019-10-16
766-73-2133,162-69-6319,undisclosed,2018-01-08
791-49-2218,113-53-2999,undisclosed,2019-07-16
354-67-5299,440-98-1551,undisclosed,2022-01-21
778-41-9615,165-47-3991,undisclosed,2020-05-30
294-94-7966,135-71-9533,undisclosed,2020-10-24
372-79-2611,453-85-7003,undisclosed,2021-02-12
672-84-5972,762-41-1883,undisclosed,2019-03-14
855-41-2825,533-87-8009,undisclosed,2018-04-07
354-10-6409,440-57-5572,undisclosed,2021-11-11
470-81-8952,418-66-5730,undisclosed,2018-06-03
885-95-1917,770-16-3431,undisclosed,2019-02-06
924-60-5522,126-14-8344,undisclosed,2021-07-04
603-79-1678,145-89-7389,undisclosed,2018-12-17
293-15-8856,630-75-8750,undisclosed,2019-05-17
377-86-3306,786-29-9316,undisclosed,2021-06-04
562-65-4101,156-67-3162,undisclosed,2018-03-21
437-16-6623,859-59-8492,undisclosed,2021-01-05
628-22-8640,928-96-9581,undisclosed,2022-02-25
890-65-2883,249-79-1469,undisclosed,2020-04-12
136-53-3893,983-78-3967,undisclosed,2020-06-15
370-55-7681,453-52-5134,undisclosed,2018-03-13
760-31-5733,370-64-2784,undisclosed,2018-12-31
499-82-9393,456-39-2511,undisclosed,2018-11-25
163-82-2089,750-82-5885,undisclosed,2018-09-13
115-45-5295,532-94-5386,undisclosed,2019-10-18
235-59-1127,889-13-9064,undisclosed,2020-04-01
107-61-6848,351-75-4894,undisclosed,2019-01-11
478-34-8707,214-81-7298,undisclosed,2021-08-10
367-68-3102,310-40-8401,undisclosed,2018-05-15
212-65-4545,302-81-5474,undisclosed,2018-10-25
904-32-8106,707-78-1553,undisclosed,2018-06-06
913-58-6466,430-77-6027,undisclosed,2020-05-21
489-47-7179,100-50-3475,undisclosed,2018-06-15
885-11-1904,694-60-8227,undisclosed,2018-05-27
509-16-9172,532-43-1025,undisclosed,2018-09-09
229-51-8298,613-89-8567,undisclosed,2019-09-18
151-43-6239,567-45-2676,undisclosed,2022-03-16
744-50-8260,148-62-3163,undisclosed,2022-05-09
353-59-3396,287-46-8822,undisclosed,2021-05-30
339-92-1429,308-57-8641,undisclosed,2019-04-04
723-16-7726,328-26-5641,undisclosed,2022-01-09
821-76-9597,314-84-9029,undisclosed,2018-11-10
459-88-9257,624-70-3237,undisclosed,2020-08-23
680-55-2716,756-73-6909,undisclosed,2022-12-17
378-55-3783,294-54-5006,undisclosed,2020-03-07
157-36-4583,370-41-9799,undisclosed,2018-12-26
414-67-9952,302-64-1050,undisclosed,2021-12-06
735-40-9193,415-28-9462,undisclosed,2021-08-17
890-24-1454,212-63-1376,undisclosed,2021-07-24
320-50-5100,909-75-9281,undisclosed,2018-05-15
335-82-3397,349-88-5054,undisclosed,2022-10-21
153-42-7112,652-74-2882,undisclosed,2022-12-25
935-11-8738,488-19-3211,undisclosed,2022-01-27
417-21-3518,549-42-5885,undisclosed,2022-10-21
742-79-3975,999-99-4035,undisclosed,2022-04-06
789-68-4300,453-84-8754,undisclosed,2019-12-24
524-70-6546,187-21-8515,undisclosed,2018-12-26
463-64-3235,567-13-9228,undisclosed,2020-06-06
153-74-7985,512-35-1104,undisclosed,2018-06-30
599-58-8580,243-81-5095,undisclosed,2021-06-28
974-36-6980,493-34-9793,undisclosed,2020-10-25
419-90-6110,941-50-2642,undisclosed,2022-04-07
679-71-5438,997-14-8715,undisclosed,2020-01-20
737-39-2694,995-13-3489,undisclosed,2018-02-04
832-42-6120,465-85-2605,undisclosed,2018-08-22
340-69-9560,824-95-2331,undisclosed,2020-07-14
979-14-3835,383-88-4547,undisclosed,2022-09-15
259-88-1850,733-57-8107,undisclosed,2020-01-10
606-93-1247,649-49-8620,undisclosed,2021-08-04
515-66-2889,753-73-1212,undisclosed,2021-11-16
393-45-9046,949-80-5794,undisclosed,2022-02-25
118-94-9309,628-16-5497,undisclosed,2019-10-24
849-26-5297,532-41-6934,undisclosed,2020-02-29
417-41-4377,391-37-9913,undisclosed,2020-10-05
796-55-4779,340-16-4224,undisclosed,2021-09-13
644-23-9529,549-74-3062,undisclosed,2020-11-30
762-67-8197,144-64-3524,undisclosed,2020-03-16
855-51-1753,114-41-4922,undisclosed,2021-05-22
196-60-2132,708-48-9843,undisclosed,2020-12-26
560-13-3530,631-57-5881,undisclosed,2022-06-01
180-97-7602,496-49-5281,undisclosed,2018-03-19
361-36-1314,497-99-3239,undisclosed,2021-08-24
262-49-5160,885-50-9489,undisclosed,2022-05-30
139-57-8024,972-31-4753,undisclosed,2022-02-21
168-27-4923,592-51-1527,undisclosed,2019-08-04
990-91-6423,600-76-9140,undisclosed,2019-12-20
498-95-5308,816-12-4584,undisclosed,2019-04-08
664-91-2805,665-11-8933,undisclosed,2018-06-29
898-60-6271,560-31-7720,undisclosed,2021-06-15
162-25-1159,950-57-7003,undisclosed,2021-01-24
280-28-1701,738-90-5913,undisclosed,2021-01-12
855-73-8228,184-91-8617,undisclosed,2019-10-27
103-47-6291,954-84-1385,undisclosed,2022-08-23
613-34-5951,991-49-6621,undisclosed,2020-10-21
544-73-5569,724-94-9389,undisclosed,2020-09-04
967-42-5053,127-68-4362,undisclosed,2020-08-21
975-82-6840,121-32-2720,undisclosed,2021-11-24
402-57-8155,194-89-1866,undisclosed,2020-11-02
165-84-1434,881-90-1653,undisclosed,2021-10-15
499-24-7605,214-44-7163,undisclosed,2019-12-22
104-86-9323,630-57-2024,undisclosed,2022-11-20
163-68-7611,539-18-5876,undisclosed,2021-05-13
326-58-3450,363-16-9764,undisclosed,2018-11-12
897-36-7880,785-20-4955,undisclosed,2018-01-25
523-31-9445,533-15-6379,undisclosed,2021-05-05
674-33-7187,810-53-6404,undisclosed,2021-09-22
159-57-6374,845-21-5347,undisclosed,2020-03-14
365-94-1756,216-48-5340,undisclosed,2021-08-21
777-58-6147,925-66-1988,undisclosed,2021-05-08
118-27-6968,439-10-6396,undisclosed,2020-04-10
758-54-8101,349-21-3935,undisclosed,2018-06-14
897-75-4357,276-10-1769,undisclosed,2020-10-27
893-48-6198,700-37-8579,undisclosed,2019-10-09
372-80-1429,821-52-7869,undisclosed,2020-06-07
945-62-3840,185-31-7617,undisclosed,2021-04-17
403-66-4000,596-68-1243,undisclosed,2022-03-28
596-80-3117,755-74-2853,undisclosed,2020-01-06
477-45-9901,703-34-4209,undisclosed,2021-07-30
235-48-2234,199-39-7020,undisclosed,2022-03-03
581-34-5827,737-96-9487,undisclosed,2018-04-06
766-43-1026,704-52-3405,undisclosed,2018-09-26
593-22-1622,178-70-5383,undisclosed,2020-11-02
263-61-9072,778-92-3992,undisclosed,2021-11-09
665-84-4665,968-64-8527,undisclosed,2019-12-01
170-16-6800,972-57-1555,undisclosed,2021-07-02
148-84-7850,330-89-7334,undisclosed,2022-05-28
701-47-4253,873-96-2169,undisclosed,2022-10-11
400-84-8993,290-51-4457,undisclosed,2018-03-24
662-33-5019,856-99-5446,undisclosed,2022-07-23
130-24-2897,530-46-4524,undisclosed,2021-06-15
987-81-6998,433-45-2773,undisclosed,2020-10-07
507-87-7044,573-61-1280,undisclosed,2018-11-25
668-38-3754,866-76-7174,undisclosed,2019-11-05
480-65-1989,932-57-8193,undisclosed,2018-12-20
840-57-3794,615-50-3032,undisclosed,2020-04-18
875-24-4746,831-70-4009,undisclosed,2021-07-22
973-37-5659,175-78-1152,undisclosed,2020-05-30
329-26-3343,382-31-9788,undisclosed,2022-09-01
322-25-1828,509-90-9130,undisclosed,2018-04-03
384-84-8200,262-72-7523,undisclosed,2020-08-09
423-61-8167,888-92-4236,undisclosed,2021-12-28
836-92-1735,852-82-8655,undisclosed,2021-09-12
767-61-4563,255-21-4911,undisclosed,2018-09-27
